Conference's Acronym with year	Conference's Acronym	Year	Conference's Name	Location
WWW 2016	WWW	2016	International World Wide Web Conferences	Montreal, Canada
SDM 2016	SDM	2016	THE SIXTEENTH SIAM INTERNATIONAL CONFERENCE ON DATA MINING	Miami, FL
SIAMSNDS 2015	SIAMSNDS	2015	Special Issues: Analyzing and Mining Social Networks for Decision Support	N/A
ISICS 2016	ISICS	2016	International Symposium on Intelligent Computing Systems	Mérida, México
NetSciX 2016	NetSciX	2016	2nd International School and Conference on Network Science	Wroclaw (Poland)
COMAD 2016	COMAD	2016	Conference on Management of Data, 2016	Pune, India
PAKDD 2016	PAKDD	2016	The 20th Pacific-Asia Conference on Knowledge Discovery and Data Mining	Auckland, New Zealand
Mine4Dev 2015	Mine4Dev	2015	1st African Workshop on Open Data and Data Mining for Development	Cotonou, Republic of Benin
ICDM 2015	ICDM	2015	ICDM 2015 Student Travel Grants	Atlantic City, NJ, USA
WiML 2015	WiML	2015	10th WORKSHOP FOR WOMEN IN MACHINE LEARNING 2015 Co-located with NIPS	Montreal, Canada
WiML 2015	WiML	2015	10th WORKSHOP FOR WOMEN IN MACHINE LEARNING 2015 Co-located with NIPS	Montreal, Canada
JFGG 2016	JFGG	2016	Journées thématiques : Fouille de grands graphes	Nîmes
IML 2015	IML	2015	Special Session on Incremental Machine Learning	Fukuoka, Japan
ICSH 2015	ICSH	2015	International Conference for Smart Health	Phoenix, Arizona, USA
ITxOT Analytics 2015	ITxOT Analytics	2015	1st Workshop on ITxOT Analytics @ IEEE Big Data 2015	Santa Clara, CA
BigGraphs 2015	BigGraphs	2015	The Second International Workshop on High Performance Big Graph Data Management, Analysis, and Mining (BigGraphs 2015)	Santa Clara, CA, USA
MLPMEA 2015	MLPMEA	2015	2015 Workshop on Machine Learning for Predictive Models for Engineering Applications (MLPMEA 2015)	Miami
Big Data in Civil Eng. 2015	Big Data in Civil Eng.	2015	Special Issue of Automation in Construction - ELSEVIER: Big Data in Civil Engineering	N/A
EHRW 2015	EHRW	2015	Electronic Health Record: implementation, data mining, security and user acceptance	Washington D.C.
BIGDATA-ASH 2015	BIGDATA-ASH	2015	2nd WORKSHOP ON ADVANCES IN SOFTWARE AND HARDWARE FOR BIG DATA TO KNOWLEDGE DISCOVERY (ASH)	Santa Clara, CA
WoTBD 2015	WoTBD	2015	2015 International Symposium on Web of Things and Big Data	Bahrain
Big Data Workshop 2015	Big Data Workshop	2015	Big Data Mining to Improve Clinical Effectiveness	Santa Clara, CA
IEEEBDAM 2015	IEEEBDAM	2015	IEEE Workshop on Big Data for Advanced Manufacturing	Santa Clara
ASE BigData 2015	ASE BigData	2015	The Fifth ASE International Conference on Big Data	Kaohsiung, Taiwan
ASE SocialInformatics 2015	ASE SocialInformatics	2015	The Fourth ASE International Conference on Social Informatics	Kaohsiung, Taiwan
ICDIM 2015	ICDIM	2015	Tenth International Conference on Digital Information Management	Jeju Island, South Korea
DI 2015	DI	2015	Dental Informatics	N/A
ICDT/EDBT 2016	ICDT/EDBT	2016	EDBT/ICDT 2016 Joint Conference	Bordeaux, France
IWFBDC 2015	IWFBDC	2015	IEEE International Workshop on Foundations of Big Data Computing	Bengaluru, India
ISCBI 2015	ISCBI	2015	3rd International Symposium on Computational and Business Intelligence	Bali, Indonesia
SoDA 2015	SoDA	2015	Special Session on Data Mining & Its Application 2015 (in Conjuction with IES 2015)	Bangkok, Thailand
GDAM 2015	GDAM	2015	International Workshop on Graph Data Analysis and Management	Singapore
SI-MCP 2015	SI-MCP	2015	Special Issue on Recent Advances in Mining Patterns from Complex Data - Journal of Intelligent Information System	N/A
KDMILE 2015	KDMILE	2015	3rd Symposium on Knowledge Discovery Mining and Learning	Itaipava - Petropolis (Brazil)
KDMILE 2015	KDMILE	2015	3rd Symposium on Knowledge Discovery Mining and Learning	Itaipava - Petropolis (Brazil)
HADM 2015	HADM	2015	ICDM International Workshop on Hardware Accelerated Data Mining	Atlantic City, NJ
KDWEB 2015	KDWEB	2015	1st International Workshop on Knowledge Discovery on the WEB	Cagliari, Italy
MobileDM 2015	MobileDM	2015	MobileDM 2015: The First International Workshop on Mobile Data Mining (ICDM 2015)	Atlantic City, NJ, USA
CIDM 2015	CIDM	2015	IEEE Symposium on Computational Intelligence and Data Mining	Cape Town, South Africa
DMCities 2015	DMCities	2015	Workshop on Data Mining for Smart Cities 2015	Atlantic City, New Jersey, USA
SABID 2015	SABID	2015	Solar Astronomy Big Data - Workshop on Workshop on Management, Search and Mining of Massive Repositories of Solar Astronomy Data	Atlantic City, NJ
LWMOOCs 2015	LWMOOCs	2015	2015 Learning with MOOCs Workshop, Teachers College, Columbia University, New York (Oct 2-3, 2015)	Columbia University, New York, USA
ICDM PhD Forum 2015	ICDM PhD Forum	2015	IEEE International Conference on Data Mining PhD Forum	Atlantic City, NJ
DaMNet 2015	DaMNet	2015	The Fifth IEEE ICDM Workshop on Data Mining in Networks	Atlantic City, NJ, USA
INFORMS-DMA 2015	INFORMS-DMA	2015	2015 INFORMS Workshop on Data Mining and Analytics	Philadelphia
SocialSens 2015	SocialSens	2015	Last CFP: First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
SocialSens 2015	SocialSens	2015	First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
AECIA 2015	AECIA	2015	Second International Afro-European Conference for Industrial Advancement	Paris - Villejuif, France
ICAST 2015	ICAST	2015	IEEE 7th International Conference on Awareness Science and Technology	Qinhuangdao
ICMLA 2015	ICMLA	2015	International Conference on Machine Learning and Applications	Miami, FL
DTMBio 2015	DTMBio	2015	Data and Text Mining in Bioinformatics	Melbourne, Australia
DTMBIO 2015	DTMBIO	2015	Data and Text Mining in Bioinformatics	Melbourne, Australia
ACTION15	ACTION	15	Actionable Analytics for SE	Lincoln, Nebraska
LWA/KDML 2015	LWA/KDML	2015	Workshop on Knowledge Discovery, Data Mining and Machine Learning	Trier, Germany
PDCKDD 2015	PDCKDD	2015	Workshop on Parallel and Distributed Computing for Knowledge Discovery in Data Bases	Porto, Portugal
MUSE 2015	MUSE	2015	6th International Workshop on Mining Ubiquitious and Social Environments	Porto, Portugal
ECML/PKDD 2015	ECML/PKDD	2015	ECML'2015 Workshop on Advanced Analytics and Learning on Temporal Data	Porto
ECML-AALTD 2015	ECML-AALTD	2015	Advanced Analytics and Learning on Temporal Data	Porto
ECML MLLS 2015	ECML MLLS	2015	2nd Workshop on Machine Learning in Life Sciences	Porto, Portugal
MLSA 2015	MLSA	2015	Machine Learning and Data Mining for Sports Analytics (MLSA 15) @ ECML/PKDD 2015	Porto
Big Data 2015	Big Data	2015	The 3rd International Workshop on Big Data	Xi'an, China
ICICSE 2015	ICICSE	2015	3rd International Conference on Innovations in Computer Science & Engineering	Guru Nanak Institutions, Hyd, India
SIDEWAYS 2015	SIDEWAYS	2015	International Workshop on Social Media World Sensors	Cyprus
HealthDENSE 2015	HealthDENSE	2015	IEEE CAMAD 2015 : Special Session on Healthcare Data Mining in Sensor Networks (HealthDENSE)	University of Surrey, Guildford, UK
ODDx3 2015	ODDx3	2015	KDD 2015 Workshop on Outlier Definition, Detection, and Description	Sydney, Australia
SRS 2015	SRS	2015	6th International Workshop on Social Recommender Systems (SRS 2015) - KDD'15	Sydney, Australia
IDEAL 2015	IDEAL	2015	The 16th International Conference on Intelligent Data Engineering and Automated Learning	Wroclaw, Poland
BIGDATA 2015	BIGDATA	2015	The Second International Conference on Data Mining, Internet Computing, and Big Data (BigData2015)	Reduit, Mauritius
CyberC 2015	CyberC	2015	The 7th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery	Xi'an, China
MoReBikeS Challenge 2015	MoReBikeS Challenge	2015	MoReBikeS: 2015 ECML-PKDD Challenge on Model Reuse with Bike rental Station data	Porto, Portugal
IDEA 2015	IDEA	2015	KDD 2015 Workshop on Interactive Data Exploration and Analysis	Sydney, Australia
ICDM 2015	ICDM	2015	International Conference on Data Mining	Atlantic City, NJ, USA
TSCT 2015	TSCT	2015	Special Session on Trends in Soft Computing Techniques	West Bengal
SEDE 2015	SEDE	2015	24th International Conference on Software Engineering and Data Engineering	San Diego, California
IJAPR 2015	IJAPR	2015	International Journal of Applied Pattern Recogition	N/A
MobiArch 2015	MobiArch	2015	10th ACM Workshop on Mobility in the Evolving Internet Architecture	Paris, France
EMACOM 2015	EMACOM	2015	European-Middle Asian Conference on Computer Modelling	Issyk Kul, Kyrgyzstan
DIM 2015	DIM	2015	The Fourth IEEE International Workshop on Data Integration and Mining	San Francisco, USA
DSAA 2015	DSAA	2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
MHDW 2015	MHDW	2015	4th Mining Humanistic Data Workshop	Island of Rhodes, GREECE
MANEM 2015	MANEM	2015	First International workshop on Multiplex & Attributed Networks Mining	Paris
SSML 2015	SSML	2015	AERFAI/INIT Summer School on Machine Learning	Benicassim (Spain)
GID 2015	GID	2015	ADBIS workshop on GPUs in Databases	Poitiers, France
CIKM 2015	CIKM	2015	Conference on Information and Knowledge Management	Melbourne, Australia
IDA 2015	IDA	2015	The 14th International Symposium on Intelligent Data Analysis	Saint-Etienne, France
FEAST 2015	FEAST	2015	ICML Workshop on Features and Structures	Lille, France
JCSSE 2015	JCSSE	2015	The 12th International Joint Conference on Computer Science and Software Engineering	Hatyai, Thailand
GTM 2015	GTM	2015	5th Global TechMining Conference	Atlanta, GA
SNAA 2015	SNAA	2015	The 5th Workshop on Social Network Analysis in Applications	Paris, France
DPBA 2015	DPBA	2015	International Workshop on Data-driven and Predictive Business Analytics (DPBA 2015), coheld with EDOC 2015	Adelaide, Australia
IEEE CPBG 2015	IEEE CPBG	2015	The 1st IEEE International Workshop on Classification Problems Embedded in the Nature of Big Data	Helsinki, Finland
Disaster Management 2015	Disaster Management	2015	4th International Conference on Disaster Management and Human Health: Reducing Risk, Improving Outcomes	Istanbul, Turkey
ISM 2015	ISM	2015	IEEE International Symposium on Multimedia	Miami, Florida USA
Sociable Smart City 2015	Sociable Smart City	2015	2nd International Workshop on Sociable Smart City	Prague, Czech republic
ASONAM 2015	ASONAM	2015	Advances in Social Networks Analysis and Mining	Paris, France
ICBO 2015	ICBO	2015	International Conference on Business Operations 2015 - Call for Papers	Prague
ICDCST 2015	ICDCST	2015	First International Conference on Data and Communication for Science, Technology and Society	Colombo
ICDCST 2015	ICDCST	2015	First International Conference on Data and Communication for Science, Technology and Society	Colombo
BIOKDD 2015	BIOKDD	2015	6th International Workshop on Biological Knowledge Discovery and Data Mining	Valencia, Spain
ISNEM@INCoS 2015	ISNEM@INCoS	2015	Special track on Intelligent Sensor Networks for Environmental Monitoring	Taipei, Taiwan
CMEM 2015	CMEM	2015	17th International Conference on Computational Methods and Experimental Measurements	Opatija, Croatia
PAPIs.io 2015	PAPIs.io	2015	The International Conference on Predictive APIs and Apps	Sydney
SSTD 2015	SSTD	2015	14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
JWS-SI-KG 2015	JWS-SI-KG	2015	Journal of Web Semantics special issue on knowledge graphs	N/A
BigDataSE 2015	BigDataSE	2015	The 9th IEEE International Conference on Big Data Science and Engineering (IEEE BigDataSE-15)	Helsinki, Finland
LDMC 2015	LDMC	2015	CfP: 3rd Linked Data Mining Challenge at Know@LOD / ESWC 2015	Portoroz, Slovenia
LDMC - 15	LDMC -	15	2nd CfP: Linked Data Mining Challenge at Know@LOD / ESWC 2015	Portoroz, Slovenia
AJIS (Business Analytics) 2015	AJIS (Business Analytics)	2015	2nd CFP - Australasia Journal of Information Systems, Special Issue on Business Analytics	N/A
CIKM 2015	CIKM	2015	Call for Tutorials: The 24th ACM International Conference on Information and Knowledge Management (CIKM 2015) 19-23 October, 2015, Melbourne, Australia	Melbourne
PAML 2015	PAML	2015	Journal of Neural Computing and Applications (Springer), Special Issue on Predictive Analytics Using Machine Learning	N/A
HAIS 2015	HAIS	2015	International Conference on Hybrid Artificial Intelligence Systems (HAIS) 2015 - Final CFP	Bilbao
RuleLearning@RuleML 2015	RuleLearning@RuleML	2015	Rule learning - a special track of RuleML 2015	Berlin
IJAIP-CIIS 2015	IJAIP-CIIS	2015	International Journal of Advanced Intelligence Paradigms	N/A
MLJ-SI 2015	MLJ-SI	2015	Machine Learning Journal Special Issue on Dynamic networks & Knowledge discovery	N/A
FUSION 2015	FUSION	2015	SS Data Mining and Knowledge Discover - Fusion 2015	Washington D.C.
ULA 2015	ULA	2015	Unsupervised Learning Algorithms (Springer, 2015)	N/A
SNPD 2015	SNPD	2015	16th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing	Takamatsu, Japan
EsPreSSE 2015	EsPreSSE	2015	Estimation and Prediction in Software & Systems Engineering	Funchal, Madeira, Portugal
KDD 2015	KDD	2015	21th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	Sydney, Australia
MobiSocial 2015	MobiSocial	2015	3rd IEEE International Workshop on Mobile Data Management, Mining, and Computing on Social Networks	Pittsburgh, Pennsylvania, USA
CORES 2015	CORES	2015	9th International Conference on Computer Recognition Systems	Wroclaw, Poland
MCS 2015	MCS	2015	12th International Workshop on Multiple Classifier Systems	Ulm University - Reisensburg Castle
EDM 2015	EDM	2015	Educational Data Mining	Madrid, Spain
BICOD 2015	BICOD	2015	30th British International Conference on Databases	Edinburgh, Scotland
BigD2M 2015	BigD2M	2015	Workshop on Big Data and Data Mining Challenges on IoT and Pervasive Systems	London, UK
SDM-BSA 2015	SDM-BSA	2015	Big Data and Stream Analytics Workshop @ SIAM DATA MINING 2015	Vancouver,CA
KES 2015	KES	2015	Theory and Applications of Forecasting - Invited Session	Sorrento
IFSA-EUSFLAT 2015	IFSA-EUSFLAT	2015	SS on Data Mining and Knowledge Discovery (30 June-3 July, Gijón, Spain)	Gijón (Spain)
NMRPC 2015	NMRPC	2015	Nonstationary Models of Pattern Recognition and Classifier Combinations	Reykjavík, Iceland
BigScholar 2015	BigScholar	2015	The Second WWW Workshop on Big Scholarly Data @ WWW 2015	Florence, Italy
WAIM 2015	WAIM	2015	The 16th International conference on Web-Age Information Management (WAIM2015)	Qingdao, Shandong, China
MLRec 2015	MLRec	2015	1st International Workshop on Machine Learning Methods for Recommender Systems	British Columbia, Canada
CogMan 2015	CogMan	2015	IFIP/IEEE Workshop on Cognitive Network and Service Management	Ottawa, Canada
ICDSST 2015	ICDSST	2015	International Conference on Decision Support System Technology	Belgrade, Serbia
JWS-ML 2014	JWS-ML	2014	Journal of Web Semantics Special Issue on Machine Learning and Data Mining for the Semantic Web	N/A
Big Data & Analytics - ANT 2015	Big Data & Analytics - ANT	2015	Big Data and Analytics Track (ANT 2015)	London, UK
KES-IDT 2015	KES-IDT	2015	Theory and Applications of Forecasting - Invited Session - 2nd CALL FOR PAPERS	Sorrento, Italy
ASONAM 2015	ASONAM	2015	[Call for workshop Proposal] The 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining	Paris, France
ISSNIP 2015	ISSNIP	2015	CFP: The IEEE 10th International Conference on Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP) Call for Papers & Call for Demos/Videos [*Final Extension]	Singapore
MDM 2015	MDM	2015	International Conference on Mobile Data Management	Pittsburgh
TFML 2015	TFML	2015	Conference on Theoretical Foundations of Machine Learning 2015	Będlewo, Poland
MUD 2015	MUD	2015	Mining Urban Data - Special Issue - Information Systems (Elsevier)	N/A
PAKDD 2015	PAKDD	2015	Pacific-Asia Conference on Knowledge Discovery and Data Mining	Ho Chi Minh, Vietnam
FLAIRS-RS 2015	FLAIRS-RS	2015	Florida Artificial Intelligence Research Society - RecSys Special Track	Hollywood, Florida USA
FLAIRS 2015	FLAIRS	2015	FLAIRS-28: Special Track in Data Mining	Hollywood, FL
DATA 2014	DATA	2014	International Workshop on Data And Text Analytics, 8-13 Dec. 2014, New Delhi, India	New Delhi, India
SIGMOD 2015	SIGMOD	2015	International Conference on Management of Data	Melbourne, VIC, Australia
DH 2015	DH	2015	Digital Humanities 2015: Global Digital Humanities	University of Western Sydney
DMAP 2016	DMAP	2016	Second International Conference on Data Mining and Applications	Vienna, Austria
OPTLJ 2016	OPTLJ	2016	Integrated Optics and Lightwave : An International Journal	N/A
IJDMS 2016	IJDMS	2016	International Journal of Database Management Systems	N/A
JANT 2016	JANT	2016	International Journal of Antennas	N/A
IJMA 2016	IJMA	2016	The International Journal of Multimedia & Its Applications - ERA Indexed	N/A
IJCSES 2016	IJCSES	2016	International Journal of Computer Science and Engineering Survey	N/A
IJE 2016	IJE	2016	International Journal of Education	N/A
ANTJ 2016	ANTJ	2016	Advanced Nanoscience and Technology: An International Journal	N/A
DASFAA 2017	DASFAA	2017	The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
ICBDA 2017	ICBDA	2017	The 2017 IEEE International Conference on Big Data Analysis (ICBDA 2017) - Ei Compendex	Beijing, China
ICKE 2017	ICKE	2017	2017 3rd International Conference on Knowledge Engineering (ICKE 2017)	Tokyo, Japan
ICDPR 2017	ICDPR	2017	2017 International Conference on Data Processing and Robotics (ICDPR 2017)—Ei&Scopus	Kuala Lumpur,Malaysia
BDAS 2017	BDAS	2017	13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
IJCI 2016	IJCI	2016	International Journal on Cybernetics & Informatics	N/A
ACTIVE 2017	ACTIVE	2017	First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)	San Diego, CA
ICOK 2017	ICOK	2017	2017 2nd International Conference on Knowledge (ICOK 2017)	Chengdu, China
DMCIT-EI 2017	DMCIT-EI	2017	Ei&Scopus--2017 International Conference on Data Mining, Communications and Information Technology(DMCIT 2017)	Phuket
ICCDA-Ei 2017	ICCDA-Ei	2017	2017 International Conference on Compute and Data Analysis (ICCDA 2017)—SCOPUS & Ei Compendex	Lakeland, Florida, USA
IEEE-ICDDM 2017	IEEE-ICDDM	2017	IEEE--2017 6th International Workshops on Database and Data Mining (ICDDM 2017)--Ei Compendex	Chengdu, China
SBD 2017	SBD	2017	Semantic Big Data	Raleigh, USA
ADBIS - Workshops 2017	ADBIS - Workshops	2017	21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops	Nicosia, Cyprus
ADBIS 2017	ADBIS	2017	21st European Conference on Advances in Databases and Information Systems	Nicosia, Cyprus
CIKM 2017	CIKM	2017	The 26th 2017 ACM Conference on Information and Knowledge Management	SINGAPORE
CDKP 2016	CDKP	2016	Fifth International Conference on Data Mining & Knowledge Management Process	Dubai,UAE
ICAITA 2016	ICAITA	2016	Fifth International Conference on Advanced Information Technologies and Applications	Dubai,UAE
CCISP-EI 2016	CCISP-EI	2016	2016 International Conference on Communication, Image and Signal Processing	Dubai
ICDE 2017	ICDE	2017	IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017	San Diego
BTW 2017	BTW	2017	The 17th Conference on Database Systems for Business, Technology, and Web	Stuttgart, Germany
ISDSA 2016	ISDSA	2016	First International Symposium on Data Science and Applications	Milan, Italy
SIGMOD 2017	SIGMOD	2017	2017 ACM SIGMOD Conference	Raleigh
CITI 2016	CITI	2016	2nd International Conference on Technologies and Innovation	Guayaquil, Ecuador
BDTA 2016	BDTA	2016	7th EAI International Conference on Big Data Technologies and Applications	Seoul, South Korea
RuleML Challenge 2016	RuleML Challenge	2016	10th International Rule Challenge 2016	Stony Brook University, New York, USA
QDB 2016	QDB	2016	VLDB Workshop on Quality in Databases	New Delhi, India
PQ 2016	PQ	2016	Process Querying 2016	Rio de Janeiro, Brazil
SoCC 2016	SoCC	2016	ACM Symposium on Cloud Computing (SoCC) 2016	Santa Clara, California, USA
SISAP 2016	SISAP	2016	9th International Conference on Similarity Search and Applications	Tokyo, Japan
ICDDM 2016	ICDDM	2016	EI Compendex--2016 5th International Workshops on Database and Data Mining (ICDDM 2016)	Chengdu, China
ICKD 2016	ICKD	2016	Ei Compendex--2016 5th International Workshop on Knowledge Discovery (ICKD 2016)	Chengdu, China
IEEE--ICCCBDA 2016	IEEE--ICCCBDA	2016	EI,IEEE--2016 International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2016)	Chengdu, China
APWeb 2016	APWeb	2016	Asia-Pacific Web Conference	Suzhou
DMDB 2016	DMDB	2016	Third International Conference on Data Mininig and Database	Vienna, Austria
CN4IoT 2016	CN4IoT	2016	2nd EAI International Conference on Cloud, Networking for IoT systems	Brindisi
GvDB 2016	GvDB	2016	27.GI-Workshop - Grundlagen von Datenbanken	Nörten-Hardenberg, Germany
IEEE--ICOIP 2016	IEEE--ICOIP	2016	2016 International Conference on Optoelectronics and Image Processing-(ICOIP 2016)--IEEE, Ei	Warsaw, Poland
ER 2016	ER	2016	Call for Papers: ER 2016 - The 35th International Conference on Conceptual Modeling	Gifu (Japan)
DBDM 2016	DBDM	2016	Fourth International Conference on Database and Data Mining	Dubai, UAE
ICOK 2016	ICOK	2016	2016 International Conference on Knowledge (ICOK 2016)	London, UK
DBKDA 2016	DBKDA	2016	The Eighth International Conference on Advances in Databases, Knowledge, and Data Applications	Lisbon, Portugal
VLDB 2016	VLDB	2016	42nd international conference on very large data bases	New Delhi
Baltic DB&IS, DC 2016	Baltic DB&IS, DC	2016	Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016	Riga, Latvia
IMMM 2016	IMMM	2016	The Sixth International Conference on Advances in Information Mining and Management	Valencia, Spain
DMS 2016	DMS	2016	Seventh International conference on Database Management Systems	Sydney , Australia
BDAS 2016	BDAS	2016	12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
BDQM 2016	BDQM	2016	The 1st International Workshop on Big Data Quality Management	Dallas, TX
TRANSACT 2016	TRANSACT	2016	11th ACM SIGPLAN Workshop on Transactional Computing	Barcelona, Spain
ICDE 2016	ICDE	2016	International Conference on Data Engineering	Helsinki, Finland
COMAD 2016	COMAD	2016	Conference on Management of Data, 2016	Pune, India
ICDM 2015	ICDM	2015	ICDM 2015 Student Travel Grants	Atlantic City, NJ, USA
SIGMOD 2016	SIGMOD	2016	ACM International Conference on Management of Data	San Francisco, USA
ESAIR 2015	ESAIR	2015	8th Workshop on Exploiting Semantic Annotations for Information Retrieval	Melbourne, Australia
ICDM 2015	ICDM	2015	International Conference on Data Mining	Atlantic City, NJ, USA
OJIOT 2015	OJIOT	2015	Internet of Ubiquitous and Pervasive Things	N/A
SISAP 2015	SISAP	2015	8th International Conference on Similarity Search and Applications	Glasgow, UK
DSAA 2015	DSAA	2015	IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
SUM 2015	SUM	2015	Ninth International Conference on Scalable Uncertainty Management	Quebec, Canada
GID 2015	GID	2015	ADBIS workshop on GPUs in Databases	Poitiers, France
KAM 2015	KAM	2015	21st Conference on Knowledge Acquisition and Management	Lodz, Poland
COSIT 2015	COSIT	2015	12th International Conference on Spatial Information Theory	Santa Fe, New Mexico, USA.
SSTD 2015	SSTD	2015	14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
DaWaK 2015	DaWaK	2015	17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	Valencia, Spain
JWS-SI-KG 2015	JWS-SI-KG	2015	Journal of Web Semantics special issue on knowledge graphs	N/A
VLDB 2015	VLDB	2015	41st International Conference on Very Large Data Bases	Kohala Coast, Hawaii, USA
ADC 2015	ADC	2015	Australasian Database Conference	Melbourne
IUPT 2015	IUPT	2015	The 5th International Symposium on Internet of Ubiquitous and Pervasive Things	London, UK
ADBIS - 2015	ADBIS -	2015	[ADBIS'2015]: Call for Workshop Proposals	Poitiers
DAPHNE 2015	DAPHNE	2015	International Workshop on Data (Co-)Processing on Heterogeneous Hardware	Brussels, Belgium
ICICS 2015	ICICS	2015	The 6th IEEE International Conference on Information and Communication Systems	Amman, Jordan
BDAS 2015	BDAS	2015	11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow, Poland
DASFAA (Demo Track) 2015	DASFAA (Demo Track)	2015	The 20th International Conference on Database Systems for Advanced Applications (Demo Track)	Hanoi, Vietnam
SIGMOD 2015	SIGMOD	2015	International Conference on Management of Data	Melbourne, VIC, Australia
Big Data in Cloud Computing 2014	Big Data in Cloud Computing	2014	Call for Book Chapters: Managing Big Data in Cloud Computing Environments	N/A
DBDBD 2014	DBDBD	2014	The Dutch-Belgian Database Day 2014	Antwerp, Belgium
SCDM 2014	SCDM	2014	2nd Scalable Cloud Data Management Workshop	Washington DC
COMAD 2014	COMAD	2014	International Conference on Management of Data (COMAD)	Hyderabad, India
BBH 2014	BBH	2014	The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	Washington D.C., USA
IDAM 2014	IDAM	2014	The 4th Intelligent Data Analysis and Management	Kaohsiung, Taiwan
SDA 2014	SDA	2014	4th International Workshop on Semantic Digital Archives (SDA)	London
ICCIDM 2014	ICCIDM	2014	International Conference on Computational Intelligence in Data Mining, Springer	Odisha, India
ICDM 2014	ICDM	2014	IEEE International Conference on Data Mining	Shenzhen, China
ICDM 2014	ICDM	2014	[2nd Round CFP] ICDM '14: The 14th IEEE International Conference on Data Mining	Shenzhen, China
ODBASE 2014	ODBASE	2014	The conference on Ontologies, DataBases, and Applications of Semantics for Large Scale Information Systems	Amantea, Italy
FDSE 2014	FDSE	2014	The 1st International Conference on Future Data and Security Engineering 2014	Ho Chi Minh City, Vietnam
DAB 2014	DAB	2014	3rd International Workshop on Data- and Artifact-Centric BPM	Haifa, Israel
BIRTE 2014	BIRTE	2014	Eighth International Workshop on Real-Time Business Intelligence	Hangzhou, China
SISAP (LNCS and IS Journal) 2014	SISAP (LNCS and IS Journal)	2014	7th International Conference on Similarity Search and Applications	Los Cabos, Mexico
BigSys 2014	BigSys	2014	Workshop on System Software Support for Big Data	Stuttgart, Germany
GID 2014	GID	2014	ADBIS workshop on GPUs in Databases	Ohrid, Republic of Macedonia
GID 2014	GID	2014	ADBIS Workshop on GPUs In Databases	Ohrid, Republic of Macedonia
EnviroInfo 2014	EnviroInfo	2014	28th International Conference on Informatics for Environmental Protection	Oldenburg, Lower Saxony, Germany
SBBD 2014	SBBD	2014	Brazilian Symposium on Databases - JIDM articles	Curitiba, Brazil
JISBD 2014	JISBD	2014	Jornadas de Ingeniería del Software y Bases de Datos	Cadiz (Spain)
APWeb 2014	APWeb	2014	Call for Demo: The 16th Asia-Pacific Web Conference	Changsha, China
PBDA 2014	PBDA	2014	Performance of Business Database Applications	Warsaw, Poland
DanaC 2014	DanaC	2014	Workshop on Data Analytics in the Cloud	Songbird, Utah, U.S.A
RDSS 2014	RDSS	2014	Workshop on Reliable Data Services and Systems	Snowbird, Utah, USA
GRADES 2014	GRADES	2014	GRAph Data-management Experiences and Systems	Snowbird (Utah), USA
ATGRC 2014	ATGRC	2014	The International Workshop on Advanced Technologies for Governance, Risk and Compliance	Munich, Germany
WebDB 2014	WebDB	2014	International Workshop on the Web and Databases	Snowbird, Utah, USA
NoSQL-Net 2014	NoSQL-Net	2014	1st International Workshop on NoSQL Databases and Linked Data Applications	Munich, Germany
SEBD 2014	SEBD	2014	The 22nd Italian Symposium on Advanced Database Systems	Sorrento Coast, Italy
DaMoN 2014	DaMoN	2014	Tenth International Workshop on Data Management on New Hardware	Snowbird, Utah, USA
HardBD 2014	HardBD	2014	The Second International Workshop on Big Data Management on Emerging Hardware	Macau, China
BUDA 2014	BUDA	2014	Workshop on Big Uncertain Data	Snowbird, Utah, USA
DSMM 2014	DSMM	2014	Workshop on Data Science for Macro-Modeling	Snowbird, Utah, USA
SWEET 2014	SWEET	2014	3rd International Workshop on Scalable Workflow Enactment Engines and Technologies	Snowbird, Utah, USA
